team,att,cmp,cmp_percentage,yds_att,passyds,td,int_,rate,1st,1st_Percentage,20plus,40plus,lng,sck,scky,year
RavensRavens,679,439,64.6,6.4,4343,20,16,82.6,205,30.2,40,11,95,33,243,2016
SaintsSaints,674,472,70,7.8,5258,38,15,102.5,265,39.3,71,11,98,27,184,2016
CardinalsCardinals,646,383,59.3,6.8,4425,28,17,83.5,229,35.4,51,6,80,41,289,2016
JaguarsJaguars,626,369,59,6.3,3925,24,16,79.5,207,33.1,44,4,51,34,197,2016
PackersPackers,620,403,65,7.2,4445,40,8,102.2,222,35.8,57,10,66T,35,246,2016
EaglesEagles,609,380,62.4,6.2,3798,16,14,79.2,192,31.5,39,6,73,33,213,2016
RedskinsRedskins,607,407,67,8.2,4948,25,12,97.4,226,37.2,70,13,80T,23,190,2016
GiantsGiants,598,377,63,6.7,4027,26,16,86,190,31.8,46,11,75,22,148,2016
RaidersRaiders,596,379,63.6,6.9,4137,29,7,95.3,198,33.2,51,8,75,18,86,2016
SteelersSteelers,596,381,63.9,7.3,4377,33,15,93.9,210,35.2,64,10,72,21,175,2016
LionsLions,594,388,65.3,7.3,4327,24,10,93.3,217,36.5,52,10,73T,37,216,2016
VikingsVikings,588,414,70.4,7,4119,20,5,97.7,209,35.5,52,8,71,38,283,2016
ColtsColts,584,370,63.4,7.7,4491,32,15,94.5,220,37.7,63,8,64,44,289,2016
TexansTexans,583,347,59.5,5.9,3418,15,16,73.2,173,29.7,34,4,53,32,242,2016
ChargersChargers,580,349,60.2,7.6,4386,33,21,87.6,214,36.9,57,16,59,36,188,2016
BuccaneersBuccaneers,578,355,61.4,7.2,4165,29,18,87,220,38.1,43,4,45T,35,239,2016
BroncosBroncos,570,339,59.5,6.9,3914,20,11,83.9,181,31.8,40,8,76T,40,229,2016
BrownsBrowns,567,338,59.6,6.5,3693,15,14,77.4,181,31.9,44,9,58T,66,429,2016
SeahawksSeahawks,567,368,64.9,7.8,4422,23,12,93.4,203,35.8,54,12,59,42,298,2016
PanthersPanthers,563,306,54.4,7,3962,21,19,75.1,194,34.5,49,9,88T,36,277,2016
BengalsBengals,563,364,64.6,7.5,4206,18,8,91.8,204,36.2,53,13,86T,41,264,2016
BearsBears,559,347,62.1,7.4,4139,19,19,81.8,212,37.9,49,4,64T,28,170,2016
PatriotsPatriots,550,368,66.9,8.1,4456,32,2,109.5,203,36.9,56,9,79,24,148,2016
JetsJets,550,311,56.6,6.6,3645,16,25,67.6,166,30.2,48,10,69T,35,179,2016
ChiefsChiefs,546,365,66.8,7.2,3914,19,8,93.2,197,36.1,46,9,80,32,174,2016
FalconsFalcons,537,374,69.6,9.2,4960,38,7,116.8,239,44.5,69,17,76T,37,235,2016
RamsRams,536,312,58.2,6.2,3313,14,20,69.5,151,28.2,43,9,66,49,362,2016
TitansTitans,504,307,60.9,7.4,3720,29,11,93.7,175,34.7,53,8,60T,28,179,2016
49ers49ers,491,287,58.4,6.4,3166,21,10,83.4,152,31,35,6,75,47,255,2016
CowboysCowboys,483,325,67.3,7.9,3799,25,6,103,191,39.5,39,8,83,28,168,2016
DolphinsDolphins,477,316,66.2,7.8,3716,27,15,95.5,167,35,46,15,74,30,216,2016
BillsBills,474,286,60.3,6.9,3250,17,7,86.7,155,32.7,35,8,84,46,214,2016
GiantsGiants,608,373,61.4,6,3680,20,14,79.8,178,29.3,33,6,77,34,201,2017
49ers49ers,607,362,59.6,7,4235,15,15,78.8,206,33.9,49,14,83T,43,310,2017
BuccaneersBuccaneers,605,378,62.5,7.6,4607,26,14,90.6,243,40.2,47,6,70,40,241,2017
DolphinsDolphins,602,373,62,6.3,3792,24,21,78.7,187,31.1,41,5,65,33,257,2017
CardinalsCardinals,598,339,56.7,6.6,3979,21,18,76.2,200,33.4,55,5,52T,52,339,2017
SteelersSteelers,590,384,65.1,7.7,4534,29,15,94.1,217,36.8,56,16,97T,24,154,2017
PatriotsPatriots,587,389,66.3,7.9,4619,32,8,102.6,232,39.5,63,10,64T,35,201,2017
ChargersChargers,583,366,62.8,7.8,4551,28,11,95.1,220,37.7,61,12,75T,18,120,2017
BrownsBrowns,574,312,54.4,6.2,3537,15,28,61.4,157,27.4,53,5,56T,50,309,2017
LionsLions,570,374,65.6,7.8,4470,29,11,98.4,210,36.8,61,16,71T,47,287,2017
RavensRavens,567,363,64,5.7,3235,20,13,81.4,168,29.6,29,5,66,27,205,2017
BroncosBroncos,566,332,58.7,6.5,3668,19,22,73,180,31.8,55,3,54T,52,335,2017
EaglesEagles,564,341,60.5,7,3967,38,9,97.6,193,34.2,43,9,72T,36,230,2017
PackersPackers,562,352,62.6,6.3,3532,25,18,82,176,31.3,38,8,72T,51,365,2017
RaidersRaiders,558,347,62.2,6.7,3761,23,14,85.3,178,31.9,47,10,87,24,130,2017
SeahawksSeahawks,555,340,61.3,7.2,3979,34,12,94.4,183,33,58,12,74,43,322,2017
ChiefsChiefs,543,363,66.8,8,4326,26,8,100.8,198,36.5,54,14,79,37,222,2017
RedskinsRedskins,540,347,64.3,7.6,4093,27,13,93.8,191,35.4,59,9,74,41,342,2017
SaintsSaints,536,386,72,8.1,4334,23,8,103.9,201,37.5,72,11,54T,20,145,2017
FalconsFalcons,530,343,64.7,7.8,4146,21,12,92.4,200,37.7,55,9,88,24,156,2017
JaguarsJaguars,527,316,60,7,3716,21,13,84.4,193,36.6,42,7,75,24,123,2017
VikingsVikings,527,357,67.7,7.5,3929,25,8,99.1,196,37.2,53,9,65,27,176,2017
