team,att,rushyds,ypc,td,20plus,40plus,lng,rush_1st,rush_1st_percentage,rushfum,year
CowboysCowboys,499,2396,4.8,24,17,3,60T,142,28.5,9,2016
BillsBills,492,2630,5.4,29,27,5,75,146,29.7,11,2016
PatriotsPatriots,482,1872,3.9,19,8,3,44T,109,22.6,8,2016
TitansTitans,476,2187,4.6,16,8,3,75T,115,24.2,10,2016
49ers49ers,458,2019,4.4,15,11,2,47,116,25.3,8,2016
TexansTexans,456,1859,4.1,8,10,1,45,102,22.4,8,2016
PanthersPanthers,453,1814,4,16,10,1,47,99,21.8,6,2016
BuccaneersBuccaneers,453,1616,3.6,8,5,2,45T,80,17.7,8,2016
BengalsBengals,446,1769,4,17,6,3,74T,100,22.4,5,2016
EaglesEagles,438,1813,4.1,16,7,0,30,114,26,9,2016
RaidersRaiders,434,1922,4.4,17,19,2,75,98,22.6,8,2016
FalconsFalcons,421,1928,4.6,20,15,4,75,108,25.6,3,2016
JetsJets,418,1802,4.3,10,10,0,35,96,23,6,2016
ChiefsChiefs,412,1748,4.2,15,12,5,70,86,20.9,5,2016
BroncosBroncos,410,1484,3.6,11,4,1,64,76,18.5,5,2016
ColtsColts,409,1628,4,13,4,0,33T,93,22.7,5,2016
SteelersSteelers,409,1760,4.3,13,5,2,60,97,23.7,6,2016
DolphinsDolphins,405,1824,4.5,14,12,5,62,90,22.2,11,2016
SaintsSaints,404,1742,4.3,17,8,2,75,105,26,2,2016
SeahawksSeahawks,403,1591,4,13,7,4,75,85,21.1,6,2016
CardinalsCardinals,399,1732,4.3,20,10,4,58,97,24.3,11,2016
GiantsGiants,398,1412,3.6,6,7,0,25,73,18.3,2,2016
ChargersChargers,398,1510,3.8,10,9,3,48,90,22.6,6,2016
JaguarsJaguars,392,1631,4.2,8,7,3,57T,75,19.1,9,2016
BearsBears,380,1735,4.6,10,13,2,69T,93,24.5,9,2016
VikingsVikings,380,1205,3.2,9,6,0,36T,66,17.4,3,2016
RedskinsRedskins,379,1696,4.5,17,10,4,66,89,23.5,7,2016
RamsRams,375,1252,3.3,9,6,0,30,68,18.1,6,2016
PackersPackers,374,1701,4.6,11,13,2,61,91,24.3,5,2016
RavensRavens,367,1463,4,10,8,1,41,79,21.5,4,2016
BrownsBrowns,350,1712,4.9,13,12,3,85,83,23.7,12,2016
LionsLions,350,1310,3.7,9,6,1,42T,76,21.7,2,2016
JaguarsJaguars,527,2262,4.3,18,13,5,90,101,19.2,9,2017
VikingsVikings,501,1957,3.9,15,15,2,58T,100,20,4,2017
PanthersPanthers,490,2102,4.3,15,10,5,69T,121,24.7,10,2017
BillsBills,487,2017,4.1,12,17,1,48,104,21.4,8,2017
CowboysCowboys,480,2170,4.5,18,12,2,70,127,26.5,1,2017
EaglesEagles,473,2115,4.5,9,19,3,71,108,22.8,11,2017
RavensRavens,460,1856,4,14,8,1,50,110,23.9,5,2017
BroncosBroncos,457,1852,4,8,8,1,40T,92,20.1,5,2017
RamsRams,454,1953,4.3,17,12,1,57,97,21.4,8,2017
ColtsColts,451,1661,3.7,11,8,0,35,94,20.8,7,2017
TexansTexans,448,1842,4.1,8,6,2,49T,86,19.2,4,2017
PatriotsPatriots,448,1889,4.2,16,10,1,44T,107,23.9,4,2017
SaintsSaints,444,2070,4.7,23,17,5,74,111,25,5,2017
TitansTitans,443,1833,4.1,18,12,3,75,97,21.9,4,2017
SteelersSteelers,437,1667,3.8,12,6,0,29,96,22,4,2017
FalconsFalcons,430,1847,4.3,12,11,2,52T,100,23.3,9,2017
JetsJets,427,1702,4,13,14,5,75,77,18,6,2017
BearsBears,422,1788,4.2,13,10,5,53,93,22,10,2017
ChargersChargers,419,1595,3.8,10,10,1,87,84,20,5,2017
CardinalsCardinals,409,1386,3.4,6,5,0,33T,66,16.1,9,2017
SeahawksSeahawks,409,1629,4,4,11,0,33T,84,20.5,7,2017
49ers49ers,408,1662,4.1,15,8,1,61,88,21.6,7,2017
ChiefsChiefs,405,1903,4.7,12,15,4,70,95,23.5,3,2017
RedskinsRedskins,401,1448,3.6,10,3,1,61T,66,16.5,10,2017
GiantsGiants,394,1549,3.9,6,8,2,75,66,16.8,5,2017
BuccaneersBuccaneers,389,1450,3.7,8,5,0,36,76,19.5,7,2017
PackersPackers,386,1724,4.5,13,11,1,46,99,25.6,4,2017
BrownsBrowns,384,1714,4.5,11,7,1,59T,97,25.3,5,2017
BengalsBengals,377,1366,3.6,6,8,0,25,72,19.1,4,2017
RaidersRaiders,370,1554,4.2,13,10,4,52,78,21.1,8,2017
LionsLions,363,1221,3.4,10,7,0,34T,58,16,6,2017
DolphinsDolphins,360,1388,3.9,4,10,4,69T,66,18.3,5,2017
RavensRavens,547,2441,4.5,19,14,1,43T,152,27.8,16,2018
SeahawksSeahawks,534,2560,4.8,15,17,2,61,133,24.9,6,2018
PatriotsPatriots,478,2037,4.3,18,12,0,34,131,27.4,2,2018
TexansTexans,472,2021,4.3,12,8,2,97T,94,19.9,4,2018
SaintsSaints,471,2025,4.3,26,9,1,49T,134,28.4,7,2018
BillsBills,468,1984,4.2,15,15,1,45,108,23.1,7,2018
BearsBears,468,1938,4.1,16,17,1,42T,108,23.1,9,2018
RamsRams,459,2231,4.9,23,14,2,56,134,29.2,2,2018
TitansTitans,454,2023,4.5,15,10,2,99,106,23.4,4,2018
CowboysCowboys,439,1963,4.5,13,12,1,41,112,25.5,10,2018
49ers49ers,423,1902,4.5,7,15,3,66,98,23.2,13,2018
PanthersPanthers,416,2136,5.1,17,15,3,59,117,28.1,7,2018
JaguarsJaguars,416,1723,4.1,7,9,2,43T,92,22.1,5,2018
RedskinsRedskins,414,1774,4.3,12,7,3,90,96,23.2,6,2018
BrownsBrowns,411,1893,4.6,15,18,5,92T,93,22.6,6,2018
JetsJets,410,1622,4,11,11,3,77,84,20.5,9,2018
ColtsColts,408,1718,4.2,13,9,2,53T,96,23.5,5,2018
LionsLions,404,1660,4.1,11,10,1,71T,91,22.5,3,2018
ChargersChargers,399,1873,4.7,16,16,1,41,100,25.1,2,2018
EaglesEagles,398,1570,3.9,12,7,0,32,94,23.6,5,2018
BroncosBroncos,393,1907,4.8,18,12,3,65,106,27,4,2018
BuccaneersBuccaneers,389,1523,3.9,11,5,0,28,79,20.3,5,2018
ChiefsChiefs,387,1855,4.8,16,19,1,45,108,27.9,4,2018
RaidersRaiders,387,1628,4.2,9,8,2,52,86,22.2,8,2018
