,team,pass_att,cmp,cmp_percentage,yds/att,pass_yds,pass_td,int,year,rush_att,rush_yds,ypc,rush_td,fum,playoff
0,Ravens,679,439,64.6,6.4,4343,20,16,2016,499,2396,4.8,24,9,0
1,Saints,674,472,70,7.8,5258,38,15,2016,492,2630,5.4,29,11,0
2,Cardinals,646,383,59.3,6.8,4425,28,17,2016,482,1872,3.9,19,8,0
3,Jaguars,626,369,59,6.3,3925,24,16,2016,476,2187,4.6,16,10,0
4,Packers,620,403,65,7.2,4445,40,8,2016,458,2019,4.4,15,8,1
5,Eagles,609,380,62.4,6.2,3798,16,14,2016,456,1859,4.1,8,8,0
6,Football Team,607,407,67,8.2,4948,25,12,2016,453,1814,4,16,6,0
7,Giants,598,377,63,6.7,4027,26,16,2016,453,1616,3.6,8,8,1
8,Raiders,596,379,63.6,6.9,4137,29,7,2016,446,1769,4,17,5,1
9,Steelers,596,381,63.9,7.3,4377,33,15,2016,438,1813,4.1,16,9,1
10,Lions,594,388,65.3,7.3,4327,24,10,2016,434,1922,4.4,17,8,1
11,Vikings,588,414,70.4,7,4119,20,5,2016,421,1928,4.6,20,3,0
12,Colts,584,370,63.4,7.7,4491,32,15,2016,418,1802,4.3,10,6,0
13,Texans,583,347,59.5,5.9,3418,15,16,2016,412,1748,4.2,15,5,1
14,Chargers,580,349,60.2,7.6,4386,33,21,2016,410,1484,3.6,11,5,0
15,Buccaneers,578,355,61.4,7.2,4165,29,18,2016,409,1628,4,13,5,0
16,Broncos,570,339,59.5,6.9,3914,20,11,2016,409,1760,4.3,13,6,0
17,Browns,567,338,59.6,6.5,3693,15,14,2016,405,1824,4.5,14,11,0
18,Seahawks,567,368,64.9,7.8,4422,23,12,2016,404,1742,4.3,17,2,1
19,Panthers,563,306,54.4,7,3962,21,19,2016,403,1591,4,13,6,0
20,Bengals,563,364,64.6,7.5,4206,18,8,2016,399,1732,4.3,20,11,0
21,Bears,559,347,62.1,7.4,4139,19,19,2016,398,1412,3.6,6,2,0
22,Patriots,550,368,66.9,8.1,4456,32,2,2016,398,1510,3.8,10,6,1
23,Jets,550,311,56.6,6.6,3645,16,25,2016,392,1631,4.2,8,9,0
24,Chiefs,546,365,66.8,7.2,3914,19,8,2016,380,1735,4.6,10,9,1
25,Falcons,537,374,69.6,9.2,4960,38,7,2016,380,1205,3.2,9,3,1
26,Rams,536,312,58.2,6.2,3313,14,20,2016,379,1696,4.5,17,7,0
27,Titans,504,307,60.9,7.4,3720,29,11,2016,375,1252,3.3,9,6,0
28,49ers,491,287,58.4,6.4,3166,21,10,2016,374,1701,4.6,11,5,0
29,Cowboys,483,325,67.3,7.9,3799,25,6,2016,367,1463,4,10,4,1
30,Dolphins,477,316,66.2,7.8,3716,27,15,2016,350,1712,4.9,13,12,1
31,Bills,474,286,60.3,6.9,3250,17,7,2016,350,1310,3.7,9,2,0
32,Giants,608,373,61.4,6,3680,20,14,2017,527,2262,4.3,18,9,0
33,49ers,607,362,59.6,7,4235,15,15,2017,501,1957,3.9,15,4,0
34,Buccaneers,605,378,62.5,7.6,4607,26,14,2017,490,2102,4.3,15,10,0
35,Dolphins,602,373,62,6.3,3792,24,21,2017,487,2017,4.1,12,8,0
36,Cardinals,598,339,56.7,6.6,3979,21,18,2017,480,2170,4.5,18,1,0
37,Steelers,590,384,65.1,7.7,4534,29,15,2017,473,2115,4.5,9,11,1
38,Patriots,587,389,66.3,7.9,4619,32,8,2017,460,1856,4,14,5,1
39,Chargers,583,366,62.8,7.8,4551,28,11,2017,457,1852,4,8,5,0
40,Browns,574,312,54.4,6.2,3537,15,28,2017,454,1953,4.3,17,8,0
41,Lions,570,374,65.6,7.8,4470,29,11,2017,451,1661,3.7,11,7,0
42,Ravens,567,363,64,5.7,3235,20,13,2017,448,1842,4.1,8,4,0
43,Broncos,566,332,58.7,6.5,3668,19,22,2017,448,1889,4.2,16,4,0
44,Eagles,564,341,60.5,7,3967,38,9,2017,444,2070,4.7,23,5,1
45,Packers,562,352,62.6,6.3,3532,25,18,2017,443,1833,4.1,18,4,0
46,Raiders,558,347,62.2,6.7,3761,23,14,2017,437,1667,3.8,12,4,0
47,Seahawks,555,340,61.3,7.2,3979,34,12,2017,430,1847,4.3,12,9,0
48,Chiefs,543,363,66.8,8,4326,26,8,2017,427,1702,4,13,6,1
49,Football Team,540,347,64.3,7.6,4093,27,13,2017,422,1788,4.2,13,10,0
50,Saints,536,386,72,8.1,4334,23,8,2017,419,1595,3.8,10,5,1
51,Falcons,530,343,64.7,7.8,4146,21,12,2017,409,1386,3.4,6,9,1
52,Jaguars,527,316,60,7,3716,21,13,2017,409,1629,4,4,7,1
53,Vikings,527,357,67.7,7.5,3929,25,8,2017,408,1662,4.1,15,7,1
54,Texans,525,299,57,6.9,3644,28,17,2017,405,1903,4.7,12,3,0
55,Rams,518,320,61.8,7.8,4023,28,7,2017,401,1448,3.6,10,10,1
56,Bengals,510,304,59.6,6.6,3386,25,12,2017,394,1549,3.9,6,5,0
57,Jets,510,323,63.3,6.9,3501,19,12,2017,389,1450,3.7,8,7,0
58,Panthers,501,293,58.5,6.6,3319,22,16,2017,386,1724,4.5,13,4,1
59,Titans,496,306,61.7,6.8,3394,14,17,2017,384,1714,4.5,11,5,1
60,Cowboys,493,309,62.7,6.8,3326,22,13,2017,377,1366,3.6,6,4,0
61,Colts,487,285,58.5,6.6,3226,13,9,2017,370,1554,4.2,13,8,0
62,Bills,476,289,60.7,6.5,3086,16,10,2017,363,1221,3.4,10,6,1
63,Bears,473,291,61.5,6.5,3085,13,12,2017,360,1388,3.9,4,5,0
64,Steelers,689,459,66.6,7.5,5174,35,17,2018,547,2441,4.5,19,16,0
65,Colts,644,432,67.1,7.1,4595,39,15,2018,534,2560,4.8,15,6,1
66,Packers,640,392,61.2,7.2,4629,25,4,2018,478,2037,4.3,18,2,0
67,Buccaneers,625,408,65.3,8.6,5358,36,26,2018,472,2021,4.3,12,4,0
68,Falcons,617,428,69.4,8,4949,36,7,2018,471,2025,4.3,26,7,0
69,Vikings,606,425,70.1,7.1,4298,30,10,2018,468,1984,4.2,15,7,0
70,Eagles,599,422,70.4,7.6,4524,29,11,2018,468,1938,4.1,16,9,1
71,Broncos,588,367,62.4,6.7,3930,19,15,2018,459,2231,4.9,23,2,0
72,Chiefs,583,385,66,8.8,5126,50,12,2018,454,2023,4.5,15,4,1
73,Giants,583,382,65.5,7.6,4405,23,12,2018,439,1963,4.5,13,10,0
74,Browns,574,353,61.5,7.4,4261,29,17,2018,423,1902,4.5,7,13,0
75,Lions,574,375,65.3,6.7,3844,22,12,2018,416,2136,5.1,17,7,0
76,Patriots,574,378,65.8,7.7,4405,29,11,2018,416,1723,4.1,7,5,0
77,Rams,568,368,64.8,8.3,4730,32,12,2018,414,1774,4.3,12,6,1
78,Panthers,563,378,67.1,7.2,4071,28,16,2018,411,1893,4.6,15,6,0
79,Ravens,556,334,60.1,6.7,3708,18,9,2018,410,1622,4,11,9,1
80,Raiders,556,382,68.7,7.3,4057,19,10,2018,408,1718,4.2,13,5,0
81,Bengals,542,331,61.1,6.6,3569,27,13,2018,404,1660,4.1,11,3,0
82,Jaguars,536,329,61.4,6.4,3431,15,13,2018,399,1873,4.7,16,2,0
83,49ers,532,331,62.2,8,4247,26,20,2018,398,1570,3.9,12,5,0
84,Cowboys,527,356,67.6,7.4,3885,22,8,2018,393,1907,4.8,18,4,1
85,Jets,524,299,57.1,6.5,3404,18,19,2018,389,1523,3.9,11,5,0
86,Saints,519,381,73.4,8,4174,33,7,2018,387,1855,4.8,16,4,1
87,Bears,512,344,67.2,7.3,3747,28,14,2018,387,1628,4.2,9,8,1
88,Chargers,512,348,68,8.4,4316,32,12,2018,371,1738,4.7,7,7,1
89,Football Team,509,311,61.1,6.5,3287,16,15,2018,359,1682,4.7,13,2,0
90,Texans,506,345,68.2,8.2,4165,26,9,2018,357,1493,4.2,9,6,1
91,Bills,499,271,54.3,6.2,3082,13,23,2018,355,1342,3.8,9,6,0
92,Cardinals,495,283,57.2,5.8,2884,15,18,2018,354,1650,4.7,13,0,0
93,Dolphins,455,292,64.2,7.3,3309,26,13,2018,351,1573,4.5,11,4,0
94,Titans,437,293,67,7.4,3255,16,12,2018,345,1445,4.2,16,4,0
95,Seahawks,427,280,65.6,8.1,3448,35,7,2018,333,1667,5,14,4,1
96,Falcons,684,459,67.1,7.4,5049,29,15,2019,547,2441,4.5,19,16,0
97,Panthers,633,382,60.4,6.5,4134,17,21,2019,534,2560,4.8,15,6,0
98,Rams,632,397,62.8,7.4,4669,22,17,2019,478,2037,4.3,18,2,0
99,Buccaneers,630,382,60.6,8.1,5127,33,30,2019,472,2021,4.3,12,4,0
100,Patriots,620,378,61,6.7,4153,25,9,2019,471,2025,4.3,26,7,1
101,Bengals,616,356,57.8,6.5,3994,18,16,2019,468,1984,4.2,15,7,0
102,Dolphins,615,371,60.3,6.7,4117,22,18,2019,468,1938,4.1,16,9,0
103,Eagles,613,391,63.8,6.6,4063,27,8,2019,459,2231,4.9,23,2,1
104,Giants,607,376,61.9,6.7,4070,30,17,2019,454,2023,4.5,15,4,0
105,Cowboys,597,388,65,8.2,4902,30,11,2019,439,1963,4.5,13,10,0
106,Chargers,597,394,66,7.8,4648,24,20,2019,423,1902,4.5,7,13,0
107,Jaguars,589,364,61.8,6.8,4023,24,8,2019,416,2136,5.1,17,7,0
108,Saints,581,418,71.9,7.6,4431,36,6,2019,416,1723,4.1,7,5,1
109,Bears,580,371,64,6.2,3573,20,12,2019,414,1774,4.3,12,6,0
110,Chiefs,576,378,65.6,8.1,4690,30,5,2019,411,1893,4.6,15,6,1
111,Packers,573,356,62.1,7,4017,26,4,2019,410,1622,4,11,9,1
112,Lions,571,344,60.2,7.3,4187,28,15,2019,408,1718,4.2,13,5,0
113,Cardinals,554,355,64.1,6.8,3797,20,12,2019,404,1660,4.1,11,3,0
114,Browns,539,318,59,7.1,3847,22,21,2019,399,1873,4.7,16,2,0
115,Texans,534,355,66.5,7.6,4083,27,14,2019,398,1570,3.9,12,5,1
116,Raiders,523,367,70.2,7.9,4110,22,8,2019,393,1907,4.8,18,4,0
117,Jets,521,323,62,6.6,3443,19,16,2019,389,1523,3.9,11,5,0
118,Seahawks,517,341,66,8,4110,31,6,2019,387,1855,4.8,16,4,1
119,Bills,513,299,58.3,6.8,3476,21,12,2019,387,1628,4.2,9,8,1
120,Colts,513,307,59.8,6.5,3314,22,10,2019,371,1738,4.7,7,7,0
121,Steelers,510,315,61.8,6.3,3214,18,19,2019,359,1682,4.7,13,2,0
122,Broncos,504,312,61.9,6.8,3401,16,10,2019,357,1493,4.2,9,6,0
123,Football Team,479,298,62.2,6.7,3205,18,13,2019,355,1342,3.8,9,6,0
124,49ers,478,331,69.2,8.4,4029,28,13,2019,354,1650,4.7,13,0,1
125,Vikings,466,319,68.4,8,3729,26,8,2019,351,1573,4.5,11,4,1
126,Titans,448,297,66.3,8.8,3956,29,8,2019,345,1445,4.2,16,4,1
127,Ravens,440,289,65.7,7.6,3350,37,8,2019,333,1667,5,14,4,1
128,Steelers,656,428,65.2,6.3,4129,35,11,2020,555,3071,5.5,24,11,1
129,Cowboys,639,413,64.6,7.1,4511,25,13,2020,521,2690,5.2,26,5,0
130,Chiefs,630,420,66.7,7.9,5005,40,7,2020,502,2346,4.7,20,8,1
131,Falcons,628,408,65,7.4,4620,27,11,2020,495,2374,4.8,21,7,0
132,Chargers,627,413,65.9,7.2,4548,31,10,2020,494,2265,4.6,30,9,0
133,Buccaneers,626,410,65.5,7.6,4776,42,12,2020,479,2237,4.7,22,9,1
134,Jaguars,616,387,62.8,6.4,3955,25,16,2020,473,2018,4.3,19,4,0
135,Bears,614,402,65.5,6.4,3925,26,16,2020,468,2283,4.9,20,5,1
136,Football Team,601,389,64.7,6.3,3796,16,16,2020,466,1784,3.8,12,8,1
137,Eagles,598,334,55.8,6.2,3728,22,20,2020,459,1996,4.4,20,1,0
138,Bills,596,410,68.8,8,4786,40,11,2020,457,1916,4.2,20,9,1
139,Rams,590,392,66.4,7.1,4183,20,14,2020,443,2118,4.8,16,4,1
140,Lions,582,374,64.3,7.6,4397,27,13,2020,442,1918,4.3,13,7,0
141,Bengals,581,372,64,6.5,3793,19,11,2020,437,1889,4.3,19,6,0
142,Cardinals,575,387,67.3,7.1,4102,27,13,2020,430,1788,4.2,14,7,0
143,49ers,570,371,65.1,7.6,4320,25,17,2020,428,1688,3.9,15,5,0
144,Seahawks,563,388,68.9,7.5,4245,40,13,2020,411,1723,4.2,16,6,1
145,Dolphins,559,370,66.2,7,3937,24,13,2020,411,1668,4.1,13,8,0
146,Broncos,556,317,57,6.6,3673,21,23,2020,411,1971,4.8,15,6,0
147,Colts,552,371,67.2,7.6,4186,24,11,2020,409,1532,3.8,13,5,1
148,Raiders,551,369,67,8,4383,28,10,2020,407,1704,4.2,19,7,0
149,Panthers,550,373,67.8,7.5,4129,16,16,2020,406,1683,4.2,9,2,0
150,Texans,546,383,70.2,8.9,4843,33,7,2020,403,1799,4.5,13,5,1
151,Packers,526,372,70.7,8.2,4299,48,5,2020,403,2027,5,16,15,1
152,Saints,522,370,70.9,7.6,3945,28,8,2020,400,1611,4,18,3,1
153,Giants,517,321,62.1,6.4,3336,12,11,2020,399,1768,4.4,13,5,0
154,Vikings,516,349,67.6,8.3,4265,35,13,2020,393,1647,4.2,12,1,0
155,Browns,501,315,62.9,7.4,3701,27,8,2020,373,1351,3.6,12,7,1
156,Jets,499,292,58.5,6.2,3115,16,14,2020,369,1519,4.1,16,3,0
157,Titans,485,316,65.2,7.9,3826,33,7,2020,367,1499,4.1,17,5,1
158,Patriots,440,283,64.3,7.1,3124,12,14,2020,344,1466,4.3,10,7,0
159,Ravens,406,257,63.3,7.2,2919,27,11,2020,337,1519,4.5,9,3,1
160,Buccaneers,731,492,67.3,7.4,5383,43,12,2021,551,2401,4.4,23,10,1
161,Chiefs,675,448,66.4,7.3,4937,37,13,2021,550,2715,4.9,25,8,1
162,Chargers,674,443,65.7,7.4,5014,38,15,2021,517,2479,4.8,18,7,0
163,Steelers,664,425,64,6,4017,23,11,2021,510,1991,3.9,12,2,1
164,Bills,655,415,63.4,6.8,4450,36,16,2021,499,2540,5.1,22,7,1
165,Cowboys,647,444,68.6,7.7,4963,40,11,2021,499,2161,4.3,22,6,1
166,Raiders,628,429,68.3,7.7,4808,23,14,2021,496,2076,4.2,23,17,1
167,Dolphins,615,404,65.7,6.4,3936,21,14,2021,489,2151,4.4,24,7,0
168,Ravens,611,396,64.8,7,4267,21,18,2021,485,2471,5.1,20,5,0
169,Rams,607,406,66.9,8.1,4893,41,18,2021,477,2061,4.3,13,11,1
